danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
0.573,0.169,4,-17.362,0.082,0.978,0.00064,0.969,0.346,82.016,5wLhrfcQ4f0ajIgViGVPBY,4
0.589,0.673,5,-8.508,0.026,0.299,6.33e-05,0.136,0.779,113.905,4tZReaCZOyaWpYL4HGP3bz,4
0.549,0.61,6,-7.243,0.0318,0.666,0.000545,0.167,0.957,80.713,7ltJ3o2O6fHtUn8iY2eXHi,4
0.576,0.322,4,-23.134,0.178,0.879,0.593,0.694,0.805,83.696,2AtI5ezg87Wk5FTVuFjAfE,4
0.515,0.569,0,-7.304,0.037,0.928,0.000189,0.114,0.31,138.687,2CfpwIhU6plsp4aycG2Th4,4
0.536,0.766,0,-9.89,0.0522,0.0539,0.0051,0.292,0.758,87.893,3BpiaGyTIb7VIoAYbvSzTH,4
0.657,0.42,5,-11.618,0.0576,0.659,0.0,0.124,0.608,124.482,2GjgVelkVqRXhe76MsmMCc,4
0.551,0.448,2,-11.286,0.0311,0.856,0.221,0.307,0.662,87.165,2ExI2HJwAPqXs2eWfHb1uX,4
0.398,0.13,6,-19.584,0.0438,0.959,0.105,0.115,0.247,150.174,6jUj5sqC0BH7xwbezIgvLS,4
0.516,0.0793,0,-23.429,0.0368,0.741,0.844,0.125,0.425,111.872,0NrGCInUdTUWDmLycYna8s,4
0.673,0.162,5,-17.238,0.0392,0.928,0.255,0.0938,0.31,127.591,2js8wl7HG1i8jZNAyqFu8g,4
0.555,0.348,5,-14.3,0.0393,0.613,0.000101,0.0634,0.444,121.916,4gDSjeogMDfWBzH4GHsa2K,4
0.598,0.326,2,-13.907,0.0391,0.722,2.46e-06,0.332,0.456,122.326,6VIgGcxTOjPpvFUrFzM2TO,4
0.699,0.712,5,-9.886,0.163,0.271,0.0,0.0527,0.955,93.11,6P71LmKrWTwnGBe4BYK5IG,4
0.771,0.203,2,-16.172,0.0766,0.861,0.00671,0.0978,0.766,133.771,7HBwI1QnbMGL8Ncl0eh3In,5
0.52,0.259,8,-16.949,0.0367,0.837,0.502,0.108,0.567,139.309,4ENo69KpwpYb1C8UyhruQo,4
0.568,0.296,11,-18.628,0.0319,0.847,0.00413,0.0652,0.823,108.74,2AsDUfEF7GRvTCA5dnSHd5,4
0.567,0.13,2,-18.713,0.0415,0.952,0.228,0.106,0.255,130.324,5GjCLHeNC77C0IbTkOU3tI,4
0.447,0.158,0,-16.987,0.0399,0.965,0.0247,0.129,0.208,88.05,3Kowu2H5WOVaGyBngkRj8W,4
0.349,0.281,3,-7.946,0.03,0.712,0.000367,0.111,0.199,100.652,5BdFjkbALt8t3C12Rr7uha,4
0.718,0.735,7,-11.02,0.109,0.719,0.00191,0.182,0.967,111.754,3HaF3WMVtpxIWU0Y103v2j,4
0.609,0.453,6,-7.8,0.0459,0.713,0.0683,0.103,0.805,90.92,0MT6ecgiLweuA4nd9NTGll,4
0.616,0.474,2,-13.517,0.0857,0.887,0.108,0.0766,0.962,169.142,4btDwdg9yf5fVBkRtcWxtP,4
0.855,0.397,11,-12.541,0.0453,0.339,0.244,0.0993,0.648,110.527,0tVxzsIpzTIj41DTHAvFxs,4
0.637,0.19,9,-22.466,0.0672,0.841,0.251,0.12,0.685,143.118,6y2YxIUeM9uMgAINRnb11K,4
0.51,0.76,11,-9.037,0.0478,0.695,1.24e-05,0.0756,0.837,150.152,2vlaOc3YYt7WLYIYxoJgYB,4
0.542,0.443,9,-13.246,0.0416,0.339,0.000199,0.382,0.932,87.254,1wuB9MID26ep43OlkOtBXd,4
0.686,0.687,7,-9.794,0.0375,0.447,0.846,0.055,0.956,105.839,2Rggek3DkmCrJIoQRurSHz,4
0.683,0.531,6,-11.606,0.116,0.592,6.15e-06,0.0589,0.805,82.392,7Kiw2eWnLpXmnKXKxpCcq0,4
0.725,0.299,4,-15.108,0.113,0.9,0.107,0.118,0.527,170.164,1G3tT3xLodVLyZV7MQDXin,4
0.516,0.6,7,-9.719,0.164,0.913,1.88e-06,0.754,0.493,103.189,5t1ehP6Z2lQkKJ24bTik7j,4
0.763,0.838,10,-6.117,0.0719,0.301,5.51e-05,0.0616,0.946,93.956,2ZMUCD2n1KMmJLvelormrk,4
0.677,0.391,4,-13.645,0.101,0.843,2.43e-05,0.131,0.532,82.887,5dlAGDr7m0KSYa9MJtQGXN,4
0.54,0.362,11,-12.472,0.0849,0.745,5.22e-06,0.188,0.552,154.136,1uEMXtNT2xFSilw75GuV88,4
0.716,0.824,9,-8.222,0.0541,0.493,0.0,0.27,0.961,89.411,2Jjd8CNtl3iyWeUosiaJQx,4
0.637,0.226,2,-13.284,0.0492,0.838,0.000523,0.0773,0.691,152.37,7oz1o6N5NDdTXQCZSfB3SO,1
0.67,0.267,0,-15.372,0.0489,0.82,0.868,0.106,0.726,151.826,2YDq7KMiDzah6yZnSXNS1q,4
